"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"1277",2599.2896,"No","Basic","Doctor","Employed","M",33947,"Urban","Married",66,10,48,1,1,"Personal Auto","Personal L3","Offer2","Web",192.213037,"Four-Door Car","Medsize",4157.08104015524
"1280",9102.902307,"No","Premium","Doctor","Employed","M",73759,"Suburban","Married",114,2,25,3,6,"Personal Auto","Personal L3","Offer1","Agent",547.2,"Four-Door Car","Small",7928.75331861845
"1281",4002.857594,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",114,3,93,0,1,"Personal Auto","Personal L2","Offer3","Call Center",820.8,"SUV","Medsize",7367.32147211608
"1283",10388.986,"No","Extended","College","Employed","F",33432,"Rural","Single",90,28,43,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",161.423101,"Two-Door Car","Medsize",5987.07557087183
"1284",8427.172486,"Yes","Extended","Bachelor","Employed","F",46503,"Suburban","Divorced",215,4,21,1,1,"Personal Auto","Personal L2","Offer1","Agent",1032,"Luxury SUV","Medsize",11187.5228911717
"1285",7007.274228,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",101,12,12,0,6,"Corporate Auto","Corporate L3","Offer2","Branch",973.787176,"SUV","Medsize",8142.497689143
"1286",5176.579135,"No","Basic","Master","Employed","F",23636,"Rural","Married",65,19,10,0,3,"Personal Auto","Personal L3","Offer2","Call Center",81.452537,"Four-Door Car","Large",4913.90224741759
"1287",5389.499465,"Yes","Extended","College","Employed","M",66429,"Rural","Married",136,35,93,0,1,"Personal Auto","Personal L3","Offer2","Agent",57.712985,"Sports Car","Medsize",7486.66093145821
"1288",4067.004737,"No","Basic","High School or Below","Employed","F",28466,"Urban","Married",102,33,91,0,1,"Personal Auto","Personal L3","Offer3","Agent",371.802628,"SUV","Medsize",6822.34482989044
"1291",12350.05824,"No","Premium","Bachelor","Employed","M",54710,"Urban","Married",103,13,46,0,2,"Personal Auto","Personal L3","Offer3","Branch",294.058449,"Two-Door Car","Medsize",6577.46693328294
"1292",8161.576876,"No","Basic","High School or Below","Employed","F",73466,"Rural","Married",102,2,71,1,6,"Personal Auto","Personal L1","Offer3","Call Center",204.74051,"SUV","Medsize",8301.01147438978
"1294",8717.049833,"Yes","Basic","College","Employed","M",83846,"Suburban","Married",74,22,94,3,2,"Personal Auto","Personal L2","Offer2","Agent",355.2,"Four-Door Car","Large",4545.14306956277
"1295",5917.466603,"No","Premium","High School or Below","Unemployed","M",0,"Suburban","Single",169,31,77,0,1,"Personal Auto","Personal L3","Offer4","Agent",1207.084251,"SUV","Medsize",9865.13108231694
"1296",2503.660407,"No","Basic","Bachelor","Employed","M",53338,"Rural","Married",63,24,35,1,1,"Personal Auto","Personal L2","Offer4","Agent",35.45384,"Four-Door Car","Medsize",4284.4854229802
"1297",12682.25069,"No","Extended","High School or Below","Employed","M",75203,"Suburban","Single",80,0,13,1,2,"Corporate Auto","Corporate L2","Offer1","Call Center",384,"Four-Door Car","Medsize",5382.37889069707
"1298",4330.38602,"Yes","Premium","College","Employed","M",60475,"Suburban","Married",107,9,18,0,1,"Personal Auto","Personal L1","Offer2","Branch",513.6,"Four-Door Car","Medsize",6169.63404607958
"1300",3567.503755,"Yes","Basic","Bachelor","Unemployed","M",0,"Suburban","Married",102,28,11,0,1,"Corporate Auto","Corporate L2","Offer2","Agent",660.430456,"SUV","Medsize",6558.69628650908
"1303",5581.761298,"No","Basic","Master","Employed","F",62739,"Urban","Divorced",70,29,80,0,3,"Personal Auto","Personal L1","Offer2","Call Center",239.328571,"Two-Door Car","Medsize",5140.97584834494
"1305",12036.62051,"Yes","Basic","Bachelor","Employed","M",44428,"Suburban","Single",104,17,61,0,2,"Personal Auto","Personal L3","Offer1","Call Center",499.2,"SUV","Medsize",7239.01749482526
"1308",8509.850887,"Yes","Basic","Master","Disabled","M",26057,"Suburban","Divorced",74,3,63,0,2,"Personal Auto","Personal L1","Offer1","Call Center",523.888845,"Four-Door Car","Small",5260.44004790431
"1311",5389.499465,"Yes","Extended","College","Employed","M",66429,"Rural","Married",136,35,93,0,1,"Personal Auto","Personal L2","Offer2","Agent",57.712985,"Sports Car","Medsize",7486.66093145821
"1314",14866.45116,"No","Extended","High School or Below","Employed","F",24279,"Suburban","Married",126,16,97,0,2,"Personal Auto","Personal L2","Offer2","Branch",604.8,"Sports Car","Medsize",7358.35695416739
"1316",9238.305998,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",128,30,26,0,5,"Personal Auto","Personal L3","Offer1","Agent",921.6,"SUV","Medsize",9306.50045296818
"1318",6236.018595,"No","Extended","Doctor","Employed","M",57760,"Urban","Single",78,9,67,0,3,"Special Auto","Special L2","Offer2","Call Center",223.950089,"Four-Door Car","Medsize",5504.2936098287
"1320",8176.576796,"No","Basic","Bachelor","Employed","M",67137,"Urban","Married",111,0,49,5,6,"Personal Auto","Personal L1","Offer2","Agent",314.880326,"SUV","Medsize",7843.89749939741
"1321",2582.862313,"No","Basic","High School or Below","Employed","F",50148,"Suburban","Married",65,0,45,0,1,"Corporate Auto","Corporate L3","Offer2","Web",323.485239,"Four-Door Car","Small",4262.21579828983
"1323",2938.07856,"No","Extended","College","Unemployed","M",0,"Suburban","Single",82,12,67,0,1,"Personal Auto","Personal L2","Offer3","Agent",590.4,"Four-Door Car","Medsize",5297.91458482419
"1324",6883.686618,"No","Extended","High School or Below","Employed","F",84869,"Suburban","Married",85,5,65,0,4,"Corporate Auto","Corporate L2","Offer2","Web",408,"Four-Door Car","Medsize",6148.03987569087
"1325",2215.912948,"No","Basic","College","Unemployed","M",0,"Suburban","Single",66,21,67,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",316.8,"Two-Door Car","Medsize",4571.27906185667
"1328",2761.691693,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",77,35,38,0,1,"Personal Auto","Personal L1","Offer1","Branch",554.4,"Four-Door Car","Small",5070.84098389684
"1332",5913.199024,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",91,13,89,0,4,"Corporate Auto","Corporate L3","Offer3","Call Center",436.8,"Four-Door Car","Medsize",6684.17674018506
"1334",12692.67092,"No","Premium","High School or Below","Employed","M",40117,"Suburban","Married",108,6,55,0,2,"Personal Auto","Personal L1","Offer3","Agent",750.082794,"Two-Door Car","Small",6804.54053421029
"1335",3309.11965,"No","Extended","Bachelor","Employed","M",72140,"Suburban","Divorced",87,22,66,2,1,"Personal Auto","Personal L3","Offer3","Agent",417.6,"Four-Door Car","Large",5223.88922911142
"1336",4754.449647,"No","Extended","College","Unemployed","F",0,"Suburban","Single",136,5,46,0,1,"Corporate Auto","Corporate L1","Offer1","Call Center",652.8,"SUV","Medsize",8366.44531619642
"1339",5527.988928,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",72,4,72,0,7,"Personal Auto","Personal L3","Offer3","Branch",345.6,"Four-Door Car","Large",6798.82673035277
"1340",10629.21789,"No","Extended","Doctor","Employed","F",36495,"Rural","Married",133,14,97,1,3,"Corporate Auto","Corporate L3","Offer2","Agent",229.930796,"SUV","Medsize",8467.68958306635
"1341",11820.1098,"No","Extended","Bachelor","Employed","F",86801,"Urban","Married",98,5,20,0,2,"Personal Auto","Personal L3","Offer4","Branch",371.108203,"Four-Door Car","Medsize",6350.39333235559
"1343",9122.92563,"No","Basic","Master","Employed","M",90804,"Urban","Married",113,29,67,0,5,"Personal Auto","Personal L1","Offer2","Call Center",434.09776,"Sports Car","Small",7745.49526544791
"1344",5309.435869,"No","Basic","College","Medical Leave","F",22404,"Urban","Married",70,0,62,1,4,"Personal Auto","Personal L3","Offer1","Agent",211.136067,"Four-Door Car","Medsize",5579.91813797013
"1345",3460.66504,"No","Extended","College","Disabled","F",14262,"Urban","Married",90,27,9,0,1,"Personal Auto","Personal L3","Offer1","Agent",290.432527,"Four-Door Car","Medsize",5661.23234630795
"1346",2872.980808,"No","Basic","Bachelor","Employed","M",36844,"Urban","Married",73,10,11,0,1,"Personal Auto","Personal L3","Offer2","Agent",283.966321,"Four-Door Car","Medsize",4625.53355977359
"1347",9927.877699,"No","Extended","College","Employed","F",58703,"Rural","Married",127,32,26,2,6,"Personal Auto","Personal L3","Offer3","Agent",227.916076,"SUV","Small",9285.83000070647
"1348",3482.687007,"No","Extended","High School or Below","Employed","M",65162,"Rural","Married",86,11,59,0,1,"Personal Auto","Personal L3","Offer2","Call Center",134.430084,"Four-Door Car","Medsize",5215.9249221847
"1349",3991.727249,"No","Extended","College","Employed","F",54964,"Suburban","Married",99,13,53,0,1,"Personal Auto","Personal L2","Offer1","Agent",525.515271,"Four-Door Car","Medsize",6069.96482797718
"1350",5510.107444,"No","Basic","Bachelor","Employed","M",61401,"Rural","Married",69,8,77,0,3,"Personal Auto","Personal L2","Offer1","Call Center",144.439335,"Four-Door Car","Medsize",5359.20967154084
"1353",5810.630529,"No","Basic","High School or Below","Employed","F",24860,"Suburban","Married",73,2,35,0,8,"Personal Auto","Personal L2","Offer4","Web",350.4,"Four-Door Car","Large",7170.08467510212
"1354",3942.725768,"No","Extended","Bachelor","Employed","M",65404,"Urban","Married",99,16,79,0,1,"Personal Auto","Personal L2","Offer2","Branch",300.703109,"Four-Door Car","Large",5806.31628459581
"1355",3126.271893,"No","Extended","High School or Below","Employed","M",34510,"Suburban","Divorced",81,0,54,0,1,"Personal Auto","Personal L3","Offer2","Agent",388.8,"Four-Door Car","Small",4988.85132125735
"1356",3530.007745,"No","Premium","Bachelor","Unemployed","M",0,"Suburban","Single",108,7,55,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",777.6,"Two-Door Car","Medsize",6478.69730964641
"1357",5029.296953,"No","Basic","Bachelor","Employed","M",40113,"Urban","Divorced",67,2,43,3,5,"Corporate Auto","Corporate L2","Offer1","Branch",262.047663,"Two-Door Car","Medsize",5468.41824533748
"1359",2202.3352,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",61,2,34,1,1,"Personal Auto","Personal L3","Offer1","Call Center",292.8,"Two-Door Car","Medsize",4193.65598260926
"1360",8717.049833,"Yes","Basic","College","Employed","M",83846,"Suburban","Married",74,22,94,3,2,"Personal Auto","Personal L3","Offer2","Agent",355.2,"Four-Door Car","Large",4545.14306956277
"1361",10373.88882,"No","Extended","College","Employed","F",62587,"Suburban","Married",86,30,47,0,2,"Personal Auto","Personal L1","Offer2","Branch",412.8,"Four-Door Car","Medsize",5541.76814674858
"1362",7250.029606,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",69,17,10,0,2,"Personal Auto","Personal L3","Offer4","Call Center",496.8,"Two-Door Car","Medsize",5033.36644697696
"1366",5391.078171,"No","Extended","College","Employed","M",21440,"Suburban","Married",135,7,19,0,1,"Personal Auto","Personal L3","Offer3","Agent",972,"SUV","Medsize",8321.03059601095
"1367",5285.307579,"No","Basic","Bachelor","Employed","F",22627,"Suburban","Married",67,19,43,0,8,"Personal Auto","Personal L1","Offer2","Agent",321.6,"Four-Door Car","Medsize",6633.94781060793
"1368",8024.992989,"No","Basic","Master","Employed","F",38702,"Rural","Married",101,7,32,3,3,"Personal Auto","Personal L3","Offer1","Web",253.364333,"SUV","Large",6976.96812387256
"1369",2810.464447,"Yes","Basic","Bachelor","Employed","M",26790,"Suburban","Married",71,4,41,0,1,"Personal Auto","Personal L3","Offer2","Agent",340.8,"Two-Door Car","Medsize",4534.70411940265
"1371",2175.740021,"No","Basic","College","Unemployed","F",0,"Suburban","Single",61,31,15,0,1,"Personal Auto","Personal L3","Offer1","Web",479.097472,"Four-Door Car","Medsize",4344.20546092932
"1372",3275.16199,"No","Extended","High School or Below","Employed","F",69263,"Suburban","Married",81,8,12,2,1,"Personal Auto","Personal L3","Offer3","Agent",494.847804,"Two-Door Car","Medsize",4951.4009079986
"1374",5048.226244,"No","Basic","High School or Below","Employed","F",29401,"Suburban","Single",65,30,56,0,4,"Personal Auto","Personal L3","Offer1","Branch",312,"Four-Door Car","Small",5503.39401536284
"1375",5515.41017,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Divorced",79,5,62,0,7,"Special Auto","Special L2","Offer2","Web",379.2,"Four-Door Car","Small",6853.08122826969
"1376",4858.429375,"No","Basic","College","Employed","F",26480,"Suburban","Divorced",63,13,17,0,3,"Personal Auto","Personal L1","Offer2","Call Center",378.695238,"Two-Door Car","Medsize",4823.07280704665
"1377",2144.921535,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",61,34,35,1,1,"Personal Auto","Personal L1","Offer2","Agent",292.8,"Four-Door Car","Medsize",3930.00743922789
"1378",6042.618486,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",83,12,21,0,5,"Personal Auto","Personal L1","Offer4","Web",904.385726,"Two-Door Car","Medsize",6646.70220326518
"1380",10864.27491,"No","Basic","Doctor","Employed","F",95579,"Urban","Single",67,19,78,0,2,"Personal Auto","Personal L1","Offer1","Agent",308.631159,"Four-Door Car","Medsize",4942.53700660602
"1381",8842.650024,"No","Basic","Master","Employed","F",42142,"Urban","Single",112,1,8,0,3,"Personal Auto","Personal L3","Offer4","Branch",396.17554,"Sports Car","Medsize",7312.04263951605
"1385",8591.305411,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",128,4,24,0,6,"Corporate Auto","Corporate L2","Offer1","Branch",1448.994134,"SUV","Medsize",9632.34367753206
"1387",4607.244307,"No","Basic","Bachelor","Disabled","F",17343,"Urban","Single",63,9,92,0,5,"Corporate Auto","Corporate L3","Offer2","Branch",208.659743,"Two-Door Car","Medsize",5474.75925617441
"1389",2580.849899,"Yes","Basic","College","Employed","M",46900,"Suburban","Married",66,13,59,0,1,"Corporate Auto","Corporate L1","Offer2","Web",316.8,"Four-Door Car","Medsize",4307.6305184753
"1390",8646.504109,"Yes","Basic","High School or Below","Employed","F",64125,"Urban","Married",108,3,44,0,3,"Corporate Auto","Corporate L3","Offer2","Branch",369.818708,"SUV","Large",7482.87105674965
"1392",3096.511217,"Yes","Extended","College","Employed","F",21604,"Suburban","Divorced",79,14,28,0,1,"Personal Auto","Personal L3","Offer1","Branch",379.2,"Four-Door Car","Medsize",5161.67042426778
"1396",3218.608644,"No","Extended","High School or Below","Employed","F",68776,"Rural","Married",80,28,78,0,1,"Personal Auto","Personal L3","Offer3","Call Center",87.861666,"Four-Door Car","Medsize",5207.08514445325
"1398",8032.401911,"No","Basic","Master","Employed","M",27658,"Rural","Married",68,4,75,0,2,"Personal Auto","Personal L2","Offer3","Call Center",160.07526,"Four-Door Car","Medsize",4987.95172679149
"1399",13918.5348,"No","Premium","High School or Below","Employed","M",64113,"Suburban","Divorced",117,24,32,0,2,"Special Auto","Special L3","Offer1","Agent",561.6,"Four-Door Car","Medsize",7213.27301587952
"1400",8966.309774,"No","Extended","High School or Below","Employed","M",41829,"Suburban","Married",76,11,41,0,2,"Personal Auto","Personal L2","Offer2","Call Center",416.365369,"Two-Door Car","Medsize",5087.62094489388
"1402",5532.629846,"No","Basic","Master","Employed","M",27722,"Suburban","Divorced",69,3,29,0,9,"Personal Auto","Personal L3","Offer3","Call Center",331.2,"Four-Door Car","Medsize",7314.26901892411
"1404",2886.451602,"Yes","Extended","High School or Below","Retired","F",10312,"Suburban","Married",78,10,63,0,1,"Personal Auto","Personal L3","Offer2","Agent",486.278557,"Four-Door Car","Large",4852.60716070094
"1405",12741.84754,"Yes","Basic","Bachelor","Employed","F",73054,"Urban","Married",106,34,36,1,2,"Personal Auto","Personal L2","Offer1","Branch",419.365958,"SUV","Medsize",7179.29745687614
"1407",7285.030983,"Yes","Basic","High School or Below","Employed","M",44788,"Suburban","Married",61,6,48,0,2,"Corporate Auto","Corporate L1","Offer2","Agent",386.031248,"Four-Door Car","Small",4406.40014211183
"1410",2491.257604,"Yes","Basic","High School or Below","Medical Leave","F",25965,"Suburban","Divorced",65,23,27,0,1,"Personal Auto","Personal L2","Offer1","Agent",329.206567,"Four-Door Car","Medsize",4525.8643416712
"1411",4039.315002,"No","Basic","College","Employed","F",34911,"Rural","Divorced",105,6,31,1,1,"Personal Auto","Personal L3","Offer4","Agent",126.779673,"SUV","Large",6808.03951212679
"1413",5049.689638,"No","Basic","High School or Below","Employed","F",61080,"Urban","Single",66,7,41,2,9,"Personal Auto","Personal L3","Offer1","Call Center",294.284951,"Four-Door Car","Medsize",6876.92590172759
"1414",4983.457132,"No","Basic","Master","Employed","F",60415,"Rural","Divorced",62,10,31,0,5,"Personal Auto","Personal L3","Offer2","Branch",72.665253,"Two-Door Car","Small",5429.34453598894
"1416",7396.719746,"No","Basic","College","Employed","M",41045,"Suburban","Single",64,9,28,1,2,"Personal Auto","Personal L3","Offer2","Branch",394.582401,"Four-Door Car","Medsize",4392.09482434818
"1417",3832.898507,"No","Extended","College","Employed","M",97729,"Rural","Married",95,18,21,0,1,"Personal Auto","Personal L3","Offer2","Web",97.176153,"Four-Door Car","Medsize",5624.65740385393
"1422",4834.710493,"Yes","Basic","College","Employed","F",38713,"Suburban","Divorced",66,31,69,4,6,"Personal Auto","Personal L3","Offer2","Call Center",316.8,"Four-Door Car","Medsize",5334.64872801447
"1423",8257.666512,"Yes","Basic","Bachelor","Disabled","F",23815,"Suburban","Married",73,4,47,0,2,"Personal Auto","Personal L3","Offer2","Call Center",424.330166,"Four-Door Car","Medsize",4951.37678433747
"1424",3052.629532,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Divorced",93,15,31,3,1,"Personal Auto","Personal L3","Offer1","Branch",446.4,"Four-Door Car","Large",5345.82807190418
"1425",4012.319346,"No","Extended","High School or Below","Employed","F",47221,"Suburban","Married",99,8,79,0,1,"Personal Auto","Personal L2","Offer1","Agent",475.2,"Two-Door Car","Large",6069.96482797718
"1428",2489.337928,"No","Basic","College","Employed","M",46051,"Suburban","Married",63,16,34,0,1,"Personal Auto","Personal L1","Offer3","Branch",302.4,"Two-Door Car","Large",4435.03490130026
"1429",4755.720009,"No","Extended","Bachelor","Retired","F",23975,"Suburban","Married",128,8,39,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",614.4,"SUV","Small",8003.12755471266
"1430",13864.38495,"No","Basic","College","Unemployed","F",0,"Suburban","Single",74,4,12,4,2,"Personal Auto","Personal L1","Offer1","Agent",580.886785,"Four-Door Car","Large",4658.24213462407
"1431",3020.424822,"No","Basic","College","Employed","F",78561,"Suburban","Married",74,7,50,0,1,"Personal Auto","Personal L1","Offer1","Branch",355.2,"Two-Door Car","Medsize",4934.59682334043
"1432",6285.305195,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",90,4,63,0,7,"Personal Auto","Personal L3","Offer1","Agent",432,"Two-Door Car","Medsize",7616.29169369123
"1433",2506.021971,"No","Basic","High School or Below","Employed","F",61402,"Suburban","Married",63,14,56,2,1,"Special Auto","Special L1","Offer1","Agent",302.4,"Four-Door Car","Medsize",4133.93594466014
"1434",2826.307641,"No","Basic","Bachelor","Employed","M",65090,"Rural","Married",71,28,3,0,1,"Personal Auto","Personal L3","Offer3","Agent",73.995096,"Four-Door Car","Medsize",4798.35266278402
"1436",12174.58795,"No","Basic","Bachelor","Employed","M",52797,"Rural","Married",104,14,13,1,2,"Personal Auto","Personal L3","Offer1","Agent",88.173438,"Sports Car","Small",6472.33217514835
"1438",10436.57466,"No","Extended","Bachelor","Medical Leave","F",24177,"Suburban","Married",92,4,37,1,2,"Personal Auto","Personal L2","Offer1","Agent",441.6,"Four-Door Car","Medsize",5927.35553292271
"1440",9175.171899,"No","Premium","Bachelor","Employed","M",68164,"Rural","Single",119,27,37,2,6,"Personal Auto","Personal L3","Offer1","Agent",222.582872,"Four-Door Car","Small",8306.37639786586
"1441",4979.079933,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",71,17,57,0,5,"Personal Auto","Personal L1","Offer2","Agent",340.8,"Two-Door Car","Medsize",5838.07701765817
"1442",2585.937023,"No","Basic","Bachelor","Disabled","F",21603,"Suburban","Married",68,11,46,2,1,"Personal Auto","Personal L3","Offer4","Branch",326.4,"Four-Door Car","Large",4361.00954558749
"1444",4568.819387,"No","Basic","College","Unemployed","M",0,"Suburban","Single",70,5,33,1,7,"Personal Auto","Personal L3","Offer1","Branch",524.836298,"Two-Door Car","Medsize",6557.44781166177
"1446",8789.88406,"No","Basic","Master","Employed","F",22849,"Suburban","Married",109,5,75,0,4,"Personal Auto","Personal L3","Offer1","Call Center",523.2,"Sports Car","Medsize",7501.64170352352
"1448",2522.41457,"No","Basic","College","Unemployed","M",0,"Suburban","Single",73,24,15,0,1,"Corporate Auto","Corporate L3","Offer2","Branch",350.4,"Two-Door Car","Medsize",4625.53355977359
"1449",7542.713967,"No","Basic","College","Unemployed","M",0,"Suburban","Single",111,7,25,0,3,"Personal Auto","Personal L2","Offer3","Branch",1186.972445,"SUV","Medsize",7882.76376068743
"1450",6005.214792,"Yes","Extended","High School or Below","Employed","M",26876,"Suburban","Single",76,17,72,0,8,"Corporate Auto","Corporate L2","Offer1","Agent",364.8,"Four-Door Car","Medsize",7306.32883565853
"1452",2345.084479,"No","Basic","College","Unemployed","M",0,"Suburban","Single",69,1,56,0,1,"Personal Auto","Personal L3","Offer1","Agent",331.2,"Four-Door Car","Medsize",4707.52322241308
"1453",8783.165364,"No","Basic","High School or Below","Disabled","F",16994,"Suburban","Married",112,25,12,0,8,"Personal Auto","Personal L3","Offer1","Call Center",806.4,"SUV","Medsize",9557.3946036923
"1454",4529.965388,"No","Basic","Bachelor","Employed","M",64270,"Rural","Single",117,12,58,0,1,"Personal Auto","Personal L3","Offer2","Agent",46.104534,"Sports Car","Small",6623.78124793428
"1455",6033.222351,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",83,4,3,0,3,"Corporate Auto","Corporate L2","Offer2","Call Center",597.6,"Four-Door Car","Medsize",5731.36721075605
"1456",5308.246978,"No","Premium","Doctor","Unemployed","F",0,"Rural","Single",145,29,70,0,1,"Personal Auto","Personal L2","Offer2","Web",358.765757,"SUV","Medsize",8511.52925448429
"1457",2674.730716,"Yes","Basic","College","Employed","M",56342,"Suburban","Single",69,12,89,0,1,"Personal Auto","Personal L2","Offer2","Call Center",331.2,"Four-Door Car","Small",4443.87467903171
"1458",4929.8075,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",70,25,21,0,6,"Personal Auto","Personal L3","Offer4","Call Center",837.438442,"Four-Door Car","Medsize",6382.15406541795
"1459",14131.12134,"No","Basic","High School or Below","Employed","M",28327,"Suburban","Single",185,29,26,0,3,"Personal Auto","Personal L2","Offer4","Web",888,"Luxury Car","Medsize",10627.3172130554
"1464",6631.665538,"No","Extended","College","Employed","M",32918,"Suburban","Married",84,33,69,0,3,"Personal Auto","Personal L2","Offer3","Agent",403.2,"Four-Door Car","Medsize",6040.43047432289
"1465",7432.299921,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",71,4,76,0,2,"Personal Auto","Personal L3","Offer2","Web",447.333545,"Four-Door Car","Medsize",4860.54734396653
"1466",2928.115104,"No","Basic","High School or Below","Employed","M",63127,"Rural","Married",74,35,17,1,1,"Personal Auto","Personal L1","Offer4","Agent",174.292234,"Two-Door Car","Large",4784.04734502037
"1468",16515.00927,"No","Extended","High School or Below","Employed","F",51725,"Rural","Married",138,9,16,1,2,"Personal Auto","Personal L3","Offer1","Agent",159.004261,"SUV","Medsize",8632.56850281119
"1469",8609.158215,"Yes","Basic","Bachelor","Employed","F",79090,"Urban","Married",107,2,74,0,3,"Personal Auto","Personal L1","Offer2","Branch",289.040734,"SUV","Medsize",7437.45633656418
"1470",10213.56338,"No","Extended","College","Employed","F",39719,"Suburban","Divorced",131,1,57,0,3,"Personal Auto","Personal L3","Offer1","Agent",628.8,"Sports Car","Medsize",8174.92232303998
"1472",5746.148291,"No","Basic","College","Employed","M",61990,"Rural","Married",72,21,47,0,9,"Personal Auto","Personal L3","Offer1","Agent",48.884434,"Four-Door Car","Medsize",7450.51317948053
"1473",3746.751625,"Yes","Extended","College","Employed","F",41479,"Rural","Married",94,14,38,1,1,"Personal Auto","Personal L2","Offer2","Call Center",19.575683,"Two-Door Car","Large",5428.69320534841
"1474",7486.068405,"No","Extended","Bachelor","Employed","F",97899,"Rural","Divorced",95,29,73,3,7,"Personal Auto","Personal L3","Offer1","Branch",3.772105,"Four-Door Car","Medsize",7391.7168596584
"1475",9120.065162,"No","Basic","College","Employed","F",63878,"Urban","Married",113,32,47,0,9,"Personal Auto","Personal L3","Offer3","Call Center",370.285349,"SUV","Small",9928.65254844165
"1476",5678.046711,"No","Basic","High School or Below","Employed","F",68671,"Rural","Married",70,30,49,0,6,"Special Auto","Special L2","Offer2","Call Center",8.076879,"Two-Door Car","Medsize",6118.50552203658
"1477",7517.083811,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",102,19,13,0,3,"Personal Auto","Personal L3","Offer1","Agent",1178.995926,"SUV","Medsize",7474.0312790182
"1478",4530.530663,"No","Basic","College","Employed","M",34640,"Urban","Married",117,23,54,2,1,"Personal Auto","Personal L2","Offer1","Call Center",466.318191,"Sports Car","Medsize",6586.33083467553
"1479",2691.380574,"No","Basic","Bachelor","Retired","F",21959,"Suburban","Married",71,0,69,0,1,"Corporate Auto","Corporate L3","Offer4","Web",340.8,"Four-Door Car","Small",4798.35266278402
"1480",8068.623946,"No","Basic","Bachelor","Employed","F",51584,"Suburban","Divorced",69,11,98,2,2,"Corporate Auto","Corporate L1","Offer1","Branch",368.919773,"Two-Door Car","Small",4732.26749033684
"1481",2478.576723,"No","Basic","Bachelor","Employed","F",65744,"Urban","Divorced",62,9,77,0,1,"Corporate Auto","Corporate L3","Offer2","Call Center",166.507217,"Four-Door Car","Medsize",4125.97163773342
"1482",9112.041503,"No","Basic","Bachelor","Disabled","F",25198,"Suburban","Married",118,26,36,0,4,"Personal Auto","Personal L3","Offer3","Call Center",566.4,"SUV","Small",8526.5100265496
"1484",4305.793209,"No","Basic","Bachelor","Employed","F",31071,"Rural","Single",111,0,57,2,1,"Personal Auto","Personal L2","Offer2","Call Center",215.23091,"Sports Car","Small",6050.19397018134
"1485",5103.35758,"No","Extended","Bachelor","Employed","F",39452,"Urban","Divorced",131,6,54,0,1,"Corporate Auto","Corporate L3","Offer1","Web",398.190882,"SUV","Medsize",8139.37171526907
"1486",4784.960513,"No","Basic","Bachelor","Employed","F",25813,"Urban","Divorced",61,16,97,0,8,"Personal Auto","Personal L1","Offer3","Agent",205.332749,"Four-Door Car","Medsize",6625.10803287647
"1487",10541.10977,"No","Extended","Doctor","Employed","F",59965,"Suburban","Married",131,7,54,0,7,"Personal Auto","Personal L2","Offer1","Branch",905.030448,"SUV","Medsize",10094.4310626524
"1489",7610.840476,"No","Extended","College","Employed","F",98701,"Rural","Married",94,22,66,0,3,"Personal Auto","Personal L1","Offer1","Branch",79.615631,"Four-Door Car","Small",6494.57767617759
"1490",8510.525936,"No","Extended","College","Unemployed","F",0,"Suburban","Single",121,5,94,0,8,"Personal Auto","Personal L2","Offer2","Branch",871.2,"Sports Car","Medsize",9086.34270062331
"1491",16172.94049,"No","Basic","College","Employed","F",64388,"Rural","Single",68,9,46,0,2,"Personal Auto","Personal L3","Offer2","Branch",12.394834,"Four-Door Car","Medsize",4724.30318341012
"1492",2425.494812,"No","Basic","College","Employed","M",66841,"Rural","Divorced",62,4,73,0,1,"Personal Auto","Personal L3","Offer4","Call Center",123.436634,"Four-Door Car","Medsize",4389.62018111479
