"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"2872", 2602.245,"No","Basic","College","Employed","M",38166,"Urban","Married", 67,25, 5,1,1,"Corporate Auto","Corporate L2","Offer4","Agent", 236.842746,"Four-Door Car","Medsize", 4642.439,-0.6953693489,-0.6953693489,0.0010598008,8.551731e-05,-2.264946e-02,-1.679007e-02, 1.211047e-03, 7.872403e-03, 7.424949e-03, 1.165209e-02, 2.623912e-03,1.0022987
"2876", 5438.697,"No","Extended","Bachelor","Employed","F",52721,"Urban","Married",136,34,29,0,1,"Personal Auto","Personal L3","Offer1","Branch", 550.127548,"SUV","Medsize", 8266.293,-0.9646646277,-0.9646646277,0.0027886030,4.337235e-04,-5.101244e-02, 5.437232e-03, 1.111140e-02, 1.129092e-02,-1.446241e-02, 1.385917e-02,-2.813685e-02,1.0029630
"2877",14472.583,"No","Basic","College","Employed","F",22012,"Rural","Married",185, 5,69,0,5,"Corporate Auto","Corporate L3","Offer2","Web",  75.698305,"Luxury SUV","Small",10726.483, 1.2814013677, 1.2814013677,0.0077601557,2.139744e-03, 1.133214e-01,-8.768068e-02,-5.369899e-02,-1.725083e-02, 1.062873e-01, 2.319149e-02,-6.147048e-02,1.0062744
"2878", 2359.424,"Yes","Basic","Bachelor","Disabled","F",19864,"Suburban","Divorced", 63,22,96,0,1,"Corporate Auto","Corporate L3","Offer1","Web", 352.394515,"Four-Door Car","Medsize", 4478.785,-0.7223857973,-0.7223857973,0.0011365987,9.898537e-05,-2.436799e-02,-1.941750e-02, 2.574061e-04, 8.157858e-03, 9.981151e-03, 1.215760e-02, 1.631951e-03,1.0022839
"2883",10244.244,"No","Extended","College","Unemployed","F",    0,"Suburban","Single", 94,23,34,0,2,"Personal Auto","Personal L1","Offer3","Agent", 451.200000,"Four-Door Car","Medsize", 5656.141, 1.5650002570, 1.5650002570,0.0018281999,7.472141e-04, 6.697668e-02,-5.885212e-03,-1.642616e-02, 5.219955e-02, 1.610095e-02,-1.539351e-02,-2.151628e-02,0.9983652
"2888", 4490.597,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Divorced", 64,26,11,1,7,"Personal Auto","Personal L3","Offer1","Web", 307.200000,"Four-Door Car","Medsize", 5999.058,-0.5145404119,-0.5145404119,0.0027164995,1.202281e-04,-2.685437e-02,-1.079079e-03,-4.889720e-04,-1.647590e-02, 6.341154e-03,-1.567855e-02, 8.179614e-04,1.0044895
"2900", 4223.275,"No","Basic","College","Disabled","F",14170,"Suburban","Married",109, 9,10,0,1,"Personal Auto","Personal L3","Offer1","Agent", 523.200000,"SUV","Medsize", 7161.630,-1.0023726522,-1.0023726522,0.0026029506,4.370229e-04,-5.120686e-02,-1.285722e-02, 2.164626e-03, 1.153699e-02, 6.226510e-03, 1.489015e-02,-3.948823e-02,1.0025983
"2905", 4299.839,"No","Premium","College","Employed","M",44388,"Urban","Divorced",113,10,74,1,1,"Personal Auto","Personal L2","Offer1","Call Center", 496.843023,"Four-Door Car","Medsize", 7285.665,-1.0198265740,-1.0198265740,0.0050520667,8.801632e-04,-7.267092e-02,-1.614198e-02,-6.279964e-02, 1.120782e-02, 9.714084e-03, 1.418823e-02, 2.301198e-03,1.0049814
"2911",16938.299,"No","Basic","College","Unemployed","F",    0,"Suburban","Single", 69,24,99,0,2,"Corporate Auto","Corporate L1","Offer1","Branch", 340.780156,"Four-Door Car","Medsize", 4633.305, 4.2099446614, 4.2099446614,0.0018095529,5.319528e-03, 1.792484e-01, 5.610921e-02,-7.723714e-03, 1.411735e-01,-3.930457e-02,-4.331613e-02,-1.801795e-02,0.9626507
"2912",10575.948,"No","Premium","College","Unemployed","M",    0,"Suburban","Single",105, 7,91,0,2,"Special Auto","Special L2","Offer3","Call Center", 756.000000,"Four-Door Car","Medsize", 6867.396, 1.2674718918, 1.2674718918,0.0060736624,1.635750e-03, 9.908013e-02, 1.500206e-02, 8.237262e-02, 4.313359e-02,-2.034057e-02,-9.649607e-03, 1.307723e-03,1.0046522
"2914", 7150.225,"No","Extended","Bachelor","Employed","M",63651,"Rural","Single", 92,19,10,0,3,"Personal Auto","Personal L3","Offer2","Branch", 224.711836,"Four-Door Car","Large", 6293.404, 0.2919678081, 0.2919678081,0.0007601972,1.081269e-05, 8.053103e-03, 3.521222e-04,-2.913052e-03,-3.539709e-03, 2.719570e-03, 7.207614e-06,-3.771522e-03,1.0029536
"2916", 6847.589,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Married",191, 2,70,0,1,"Personal Auto","Personal L3","Offer2","Web",1317.008182,"Luxury SUV","Medsize", 9310.682,-0.8430635118,-0.8430635118,0.0093774535,1.121492e-03,-8.202546e-02, 5.681324e-02, 3.750010e-02,-2.790257e-02,-7.298411e-02, 1.374843e-02, 4.285996e-02,1.0101650
"2918", 3528.044,"Yes","Extended","Doctor","Employed","M",31278,"Suburban","Married", 92,24,95,4,1,"Personal Auto","Personal L3","Offer1","Branch", 441.600000,"Two-Door Car","Medsize", 5665.276,-0.7284374819,-0.7284374819,0.0010257311,9.082258e-05,-2.334167e-02,-5.145375e-03, 7.575294e-03, 8.377198e-03,-6.511467e-03, 1.187615e-02, 9.643103e-03,1.0021516
"2924", 8797.830,"No","Basic","College","Employed","F",80780,"Rural","Married",109,26,11,0,3,"Corporate Auto","Corporate L3","Offer2","Agent",   3.550000,"SUV","Medsize", 7789.758, 0.3437891569, 0.3437891569,0.0023850600,4.711099e-05, 1.680972e-02, 2.394152e-03,-5.975873e-04,-4.171491e-03,-2.005641e-03, 5.109121e-04, 1.365167e-02,1.0045080
"2926", 2404.459,"No","Basic","College","Employed","M",45949,"Rural","Single", 62, 0,70,0,1,"Corporate Auto","Corporate L3","Offer1","Agent", 110.556062,"Two-Door Car","Medsize", 4437.872,-0.6930919201,-0.6930919201,0.0011588735,9.290948e-05,-2.360808e-02,-1.910389e-02, 6.928119e-06, 7.822162e-03, 1.012038e-02, 1.167728e-02, 1.303376e-03,1.0024057
"2928", 5890.529,"No","Basic","High School or Below","Employed","M",76875,"Rural","Married", 73,21, 4,0,9,"Personal Auto","Personal L3","Offer3","Agent",  17.375878,"Four-Door Car","Medsize", 7400.432,-0.5151240177,-0.5151240177,0.0030705375,1.362541e-04,-2.858820e-02, 1.744959e-03, 1.101672e-03, 7.149022e-03, 2.300806e-03,-2.509442e-02, 2.459589e-03,1.0048447
"2930", 5288.240,"No","Basic","Bachelor","Medical Leave","M",28884,"Suburban","Married", 72,27, 9,1,3,"Corporate Auto","Corporate L3","Offer2","Agent", 518.400000,"Four-Door Car","Medsize", 5475.134,-0.0636830194,-0.0636830194,0.0007141295,4.832321e-07,-1.702422e-03,-9.469103e-04, 1.943544e-04, 7.629212e-04, 4.060637e-04, 2.149340e-05, 3.404940e-04,1.0031023
"2935", 2592.438,"Yes","Basic","High School or Below","Employed","M",72421,"Suburban","Married", 65, 8,23,0,1,"Personal Auto","Personal L3","Offer2","Call Center", 312.000000,"Four-Door Car","Small", 4560.612,-0.6708301868,-0.6708301868,0.0010957395,8.229106e-05,-2.221797e-02,-1.711459e-02, 7.036807e-04, 7.585108e-03, 8.215839e-03, 1.126540e-02, 2.023405e-03,1.0024152
"2936", 8019.856,"No","Premium","Master","Employed","F",54702,"Suburban","Married",199, 5,42,0,1,"Personal Auto","Personal L3","Offer4","Agent", 955.200000,"SUV","Medsize",11605.047,-1.2262865319,-1.2262865319,0.0076952305,1.943220e-03,-1.079892e-01, 3.149308e-02,-5.635301e-02, 1.410387e-02,-3.628407e-02, 1.374868e-02,-2.980913e-02,1.0065412
"2937", 6943.742,"No","Extended","High School or Below","Unemployed","F",    0,"Suburban","Single", 76, 4,43,5,2,"Special Auto","Special L2","Offer1","Agent", 547.200000,"Four-Door Car","Large", 4919.699, 0.6900973654, 0.6900973654,0.0017372767,1.381606e-04, 2.878873e-02, 5.895334e-03,-2.939553e-03, 2.310579e-02,-2.650813e-03,-7.012631e-03,-4.782904e-03,1.0029964
"2938",13367.866,"No","Basic","High School or Below","Employed","F",57335,"Suburban","Married", 67,22,18,0,2,"Personal Auto","Personal L1","Offer4","Agent", 407.887715,"Two-Door Car","Medsize", 4956.503, 2.8710211757, 2.8710211757,0.0008530630,1.169556e-03, 8.389040e-02, 6.090759e-02,-4.395691e-03,-3.339712e-02,-3.011174e-02,-2.466644e-02,-1.037488e-02,0.9836858
"2940", 3479.760,"No","Extended","High School or Below","Employed","M",35033,"Suburban","Married", 87,26,53,0,1,"Personal Auto","Personal L2","Offer1","Agent", 490.638202,"Two-Door Car","Small", 5460.708,-0.6751425728,-0.6751425728,0.0009710393,7.385717e-05,-2.104868e-02,-7.075226e-03, 5.851848e-03, 7.739880e-03,-3.386190e-03, 1.106809e-02, 7.659364e-03,1.0022761
"2945", 8090.884,"No","Basic","High School or Below","Employed","M",86180,"Rural","Divorced", 69,11,43,4,2,"Personal Auto","Personal L1","Offer4","Branch",  48.051339,"Four-Door Car","Large", 5038.330, 1.0404178273, 1.0404178273,0.0008226356,1.485303e-04, 2.985316e-02, 2.065011e-02,-2.313459e-03,-1.211738e-02,-9.279325e-03,-8.900950e-03,-4.547354e-03,1.0006259
"2950", 5173.485,"No","Basic","College","Unemployed","F",    0,"Suburban","Married", 69,30,69,0,9,"Personal Auto","Personal L2","Offer1","Call Center", 331.200000,"Four-Door Car","Medsize", 6831.753,-0.5659816889,-0.5659816889,0.0038978655,2.089749e-04,-3.540494e-02, 4.068642e-03, 2.047934e-04,-1.775925e-02, 4.541904e-03,-2.656240e-02, 1.792517e-03,1.0055470
"2953", 2631.878,"No","Basic","College","Disabled","F",16976,"Urban","Married", 69,23,54,0,1,"Personal Auto","Personal L3","Offer1","Agent", 238.952528,"Four-Door Car","Medsize", 4724.266,-0.7131515869,-0.7131515869,0.0010287826,8.731084e-05,-2.288586e-02,-1.624463e-02, 1.735945e-03, 8.083820e-03, 6.495541e-03, 1.192404e-02, 3.230953e-03,1.0022075
"2954", 6993.839,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single", 65,29,35,2,2,"Corporate Auto","Corporate L2","Offer1","Call Center", 468.000000,"Four-Door Car","Medsize", 4469.651, 0.8607279600, 0.8607279600,0.0018779161,2.323368e-04, 3.733466e-02, 1.382540e-02,-3.863435e-04, 2.888877e-02,-1.073880e-02,-8.918722e-03,-2.379913e-03,1.0025028
"2955",15055.538,"No","Basic","College","Employed","M",83283,"Rural","Single",193,11,46,1,3,"Personal Auto","Personal L2","Offer3","Branch", 273.702709,"Luxury Car","Medsize",10425.662, 1.5845807971, 1.5845807971,0.0085094655,3.589465e-03, 1.467984e-01,-1.078445e-01,-7.150508e-02,-2.043756e-02, 1.408693e-01, 2.948948e-03,-8.136742e-02,1.0049446
"2956", 3401.882,"No","Extended","High School or Below","Employed","M",41972,"Suburban","Divorced", 86,20,23,0,1,"Personal Auto","Personal L3","Offer2","Branch", 691.709371,"Four-Door Car","Medsize", 5419.795,-0.6877407537,-0.6877407537,0.0009637912,7.606612e-05,-2.136120e-02,-7.677116e-03, 5.722856e-03, 7.879347e-03,-2.909739e-03, 1.128704e-02, 7.541897e-03,1.0022277
"2961", 4962.208,"No","Basic","College","Employed","F",23300,"Suburban","Married", 63, 3,35,1,4,"Corporate Auto","Corporate L3","Offer3","Branch", 339.906034,"Four-Door Car","Small", 5420.977,-0.1563386382,-0.1563386382,0.0009123490,3.721412e-06,-4.724382e-03,-2.828334e-03,-4.296034e-05, 1.911886e-03, 2.071494e-03,-1.198044e-03, 2.784009e-04,1.0032524
"2962", 2816.759,"No","Basic","Bachelor","Employed","F",66023,"Urban","Married", 70,11,94,0,1,"Personal Auto","Personal L3","Offer1","Branch", 265.629611,"Two-Door Car","Medsize", 4765.180,-0.6640693681,-0.6640693681,0.0010151186,7.470167e-05,-2.116861e-02,-1.467277e-02, 1.846433e-03, 7.532166e-03, 5.527383e-03, 1.109127e-02, 3.259972e-03,1.0023559
"2964", 8262.880,"No","Extended","College","Unemployed","F",    0,"Rural","Married", 76, 4,51,1,2,"Personal Auto","Personal L2","Offer1","Agent",  32.508635,"Four-Door Car","Medsize", 4919.699, 1.1400447470, 1.1400447470,0.0017372767,3.769335e-04, 4.755914e-02, 9.739125e-03,-4.856159e-03, 3.817089e-02,-4.379158e-03,-1.158491e-02,-7.901384e-03,1.0010224
"2967", 8427.724,"No","Basic","Bachelor","Employed","M",20662,"Suburban","Married", 72,10,99,0,2,"Personal Auto","Personal L1","Offer4","Agent", 373.324673,"Two-Door Car","Medsize", 5161.071, 1.1134048952, 1.1134048952,0.0007862204,1.625547e-04, 3.123173e-02, 1.981638e-02,-3.632327e-03,-1.299115e-02,-7.309489e-03,-9.464701e-03,-6.130686e-03,1.0002132
"2969", 8209.600,"No","Basic","High School or Below","Employed","M",68022,"Suburban","Married",103, 3,26,0,3,"Personal Auto","Personal L3","Offer4","Web", 494.400000,"Sports Car","Small", 6743.452, 0.4996750728, 0.4996750728,0.0009952693,4.146934e-05, 1.577154e-02,-3.152749e-03,-6.889450e-03,-6.097993e-03, 8.967586e-03, 1.118886e-04,-8.536214e-03,1.0027950
"2975", 6912.040,"No","Extended","College","Unemployed","M",    0,"Suburban","Married", 96,11,55,0,5,"Personal Auto","Personal L3","Offer2","Agent", 460.800000,"Four-Door Car","Medsize", 6680.160, 0.0790616002, 0.0790616002,0.0019828084,2.070593e-06, 3.524009e-03,-1.100402e-03,-8.347562e-04, 2.561961e-03, 9.823126e-04, 1.162486e-03,-1.109129e-03,1.0043722
"2976", 2570.762,"No","Basic","Master","Unemployed","M",    0,"Suburban","Married", 72, 0,93,3,1,"Personal Auto","Personal L3","Offer4","Call Center", 345.600000,"Two-Door Car","Small", 4441.981,-0.6380691016,-0.6380691016,0.0020046588,1.363323e-04,-2.859721e-02,-9.065953e-03, 1.968275e-03,-2.158445e-02, 4.575244e-03, 1.174289e-02, 3.557906e-03,1.0034311
"2981", 5184.949,"No","Basic","College","Employed","F",49312,"Urban","Married", 65,30,55,1,4,"Corporate Auto","Corporate L1","Offer1","Branch", 230.104769,"Four-Door Car","Medsize", 5502.804,-0.1083157291,-0.1083157291,0.0008732624,1.709729e-06,-3.202238e-03,-1.811505e-03, 4.525296e-05, 1.326134e-03, 1.265191e-03,-8.339455e-04, 2.748881e-04,1.0032436
"2988", 5452.171,"No","Basic","Bachelor","Employed","M",88567,"Suburban","Married", 67, 9,89,0,9,"Personal Auto","Personal L2","Offer1","Web", 321.600000,"Four-Door Car","Medsize", 7154.951,-0.5809536050,-0.5809536050,0.0031346496,1.769289e-04,-3.257750e-02,-4.161632e-04, 3.407311e-05, 8.037864e-03, 5.332913e-03,-2.823903e-02, 1.452947e-03,1.0047359
"2989", 2968.078,"No","Basic","College","Employed","M",91646,"Rural","Married", 74,12,10,0,1,"Corporate Auto","Corporate L1","Offer2","Branch",  57.678779,"Two-Door Car","Medsize", 4928.833,-0.6682600179,-0.6682600179,0.0009727640,7.248793e-05,-2.085262e-02,-1.293871e-02, 2.783728e-03, 7.598701e-03, 3.464777e-03, 1.111261e-02, 4.292431e-03,1.0023000
"2997", 9709.746,"No","Extended","College","Unemployed","M",    0,"Suburban","Married",133,11,30,0,7,"Corporate Auto","Corporate L3","Offer1","Agent", 827.085431,"SUV","Small", 9622.912, 0.0296448545, 0.0296448545,0.0045260665,6.662105e-07, 1.998917e-03,-8.220455e-04,-2.618430e-04, 9.390264e-04, 3.962451e-04, 9.754683e-04, 9.303081e-04,1.0069511
"2999", 4209.683,"No","Basic","Bachelor","Employed","F",57933,"Suburban","Married",105,10,64,0,1,"Personal Auto","Personal L3","Offer1","Call Center", 533.255723,"SUV","Small", 6997.976,-0.9511857887,-0.9511857887,0.0026517137,4.009366e-04,-4.904619e-02,-1.480271e-02, 7.354342e-04, 1.092082e-02, 8.896552e-03, 1.419909e-02,-3.891426e-02,1.0028873
"3007", 2316.796,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Married", 64, 2,80,0,1,"Personal Auto","Personal L2","Offer4","Branch", 307.200000,"Four-Door Car","Medsize", 4114.674,-0.6130960296,-0.6130960296,0.0021339079,1.340038e-04,-2.835177e-02,-1.206479e-02, 1.918362e-04,-2.077619e-02, 8.247167e-03, 1.137291e-02, 1.560955e-03,1.0036361
"3008",13869.927,"Yes","Basic","College","Employed","M",28432,"Suburban","Married",118, 1,59,0,2,"Personal Auto","Personal L2","Offer2","Branch", 612.300581,"SUV","Small", 7843.915, 2.0567815277, 2.0567815277,0.0023923241,1.688598e-03, 1.007206e-01, 7.694762e-03,-1.042317e-02,-2.444641e-02, 2.147760e-03,-1.341121e-02, 7.433302e-02,0.9946862
"3014", 8060.162,"No","Basic","High School or Below","Employed","M",23671,"Suburban","Divorced", 69,32,45,0,2,"Personal Auto","Personal L3","Offer1","Branch", 331.200000,"Four-Door Car","Medsize", 5038.330, 1.0299419908, 1.0299419908,0.0008226356,1.455555e-04, 2.955257e-02, 2.044219e-02,-2.290165e-03,-1.199537e-02,-9.185893e-03,-8.811327e-03,-4.501567e-03,1.0006778
"3016", 4709.522,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single", 66,17,29,0,3,"Personal Auto","Personal L1","Offer1","Agent", 470.576119,"Four-Door Car","Small", 4824.629,-0.0392422291,-0.0392422291,0.0017569151,4.519012e-07,-1.646307e-03,-4.884951e-04, 2.294966e-05,-1.304465e-03, 4.513717e-04, 8.538942e-05, 1.171037e-04,1.0041562
"3017", 2685.426,"No","Basic","High School or Below","Employed","M",75329,"Rural","Married", 67,15,17,0,1,"Corporate Auto","Corporate L2","Offer3","Branch",  45.905292,"Four-Door Car","Large", 4642.439,-0.6670133214,-0.6670133214,0.0010598008,7.868622e-05,-2.172586e-02,-1.610540e-02, 1.161662e-03, 7.551379e-03, 7.122172e-03, 1.117694e-02, 2.516913e-03,1.0023913
"3019", 5493.699,"No","Basic","College","Employed","F",44369,"Urban","Married", 68,13,22,0,8,"Personal Auto","Personal L3","Offer4","Call Center", 185.291566,"Four-Door Car","Medsize", 6881.801,-0.4734056254,-0.4734056254,0.0023951435,8.970630e-05,-2.319636e-02,-1.402725e-03, 2.914732e-04, 6.402794e-03, 4.061616e-03,-1.914378e-02, 1.438385e-03,1.0042636
"3021", 2414.072,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single", 71,25,30,0,1,"Personal Auto","Personal L3","Offer2","Call Center", 511.200000,"Four-Door Car","Medsize", 4401.068,-0.6775586749,-0.6775586749,0.0020165095,1.546369e-04,-3.045688e-02,-1.009028e-02, 1.855339e-03,-2.292529e-02, 5.390347e-03, 1.248200e-02, 3.521481e-03,1.0033182
"3022", 4282.948,"Yes","Basic","College","Employed","F",40864,"Rural","Married",109,16,70,1,1,"Personal Auto","Personal L3","Offer1","Agent", 166.937747,"SUV","Medsize", 7161.630,-0.9820081534,-0.9820081534,0.0026029506,4.194527e-04,-5.016652e-02,-1.259601e-02, 2.120649e-03, 1.130261e-02, 6.100010e-03, 1.458764e-02,-3.868598e-02,1.0026953
"3027", 8435.176,"No","Basic","Bachelor","Employed","M",64692,"Suburban","Married", 70,17,80,0,2,"Corporate Auto","Corporate L3","Offer1","Agent", 336.000000,"Two-Door Car","Small", 5079.244, 1.1438637902, 1.1438637902,0.0008092671,1.765987e-04, 3.255338e-02, 2.192167e-02,-2.939555e-03,-1.333029e-02,-9.304430e-03,-9.765166e-03,-5.432459e-03,1.0000718
"3033", 5994.255,"No","Basic","Master","Employed","F",74284,"Urban","Married", 74,27, 5,0,3,"Personal Auto","Personal L3","Offer3","Call Center", 268.130863,"Four-Door Car","Medsize", 5556.961, 0.1490042711, 0.1490042711,0.0006965941,2.580465e-06, 3.934051e-03, 2.011958e-03,-5.579297e-04,-1.787188e-03,-7.162949e-04,-4.489263e-05,-9.094783e-04,1.0030411
"3038", 6874.848,"No","Extended","Bachelor","Unemployed","F",    0,"Suburban","Single", 96,35,27,0,6,"Personal Auto","Personal L2","Offer4","Agent", 691.200000,"Four-Door Car","Medsize", 6994.224,-0.0407086465,-0.0407086465,0.0022891157,6.339544e-07,-1.949926e-03, 6.859800e-04, 4.213108e-04,-1.306621e-03,-5.135448e-04,-9.312147e-04, 5.646836e-04,1.0046916
"3041", 7380.086,"No","Extended","Master","Employed","F",21841,"Suburban","Married", 91,33,47,0,7,"Corporate Auto","Corporate L3","Offer2","Call Center", 436.800000,"Four-Door Car","Medsize", 7508.746,-0.0438640147,-0.0438640147,0.0018119945,5.823484e-07,-1.868877e-03, 4.311477e-04, 3.857531e-04, 5.866089e-04,-4.074385e-04,-1.433301e-03, 5.223284e-04,1.0042107
"3043", 7591.109,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Married",105, 0,16,0,4,"Corporate Auto","Corporate L3","Offer2","Agent", 504.000000,"SUV","Small", 7535.143, 0.0190962036, 0.0190962036,0.0034392752,2.098356e-07, 1.121834e-03, 4.517173e-06, 4.750458e-06, 6.263217e-04,-1.757610e-04, 1.500460e-04, 7.924784e-04,1.0058542
"3044", 5015.009,"Yes","Extended","Bachelor","Employed","F",48567,"Suburban","Single",130,12,15,0,1,"Personal Auto","Personal L1","Offer2","Agent", 624.000000,"SUV","Medsize", 8020.812,-1.0254253080,-1.0254253080,0.0026698496,4.691327e-04,-5.305520e-02, 1.572089e-03, 9.678100e-03, 1.195724e-02,-1.054079e-02, 1.484276e-02,-3.223852e-02,1.0025535
"3046", 2551.227,"Yes","Basic","Master","Employed","M",79751,"Suburban","Married", 63,15,67,0,1,"Personal Auto","Personal L3","Offer3","Web", 392.235698,"Two-Door Car","Small", 4478.785,-0.6569977774,-0.6569977774,0.0011365987,8.187966e-05,-2.216228e-02,-1.765989e-02, 2.341065e-04, 7.419435e-03, 9.077690e-03, 1.105713e-02, 1.484232e-03,1.0025002
"3047", 5641.359,"No","Basic","Bachelor","Employed","M",39469,"Urban","Divorced", 71, 1,29,0,4,"Personal Auto","Personal L3","Offer2","Call Center", 315.560161,"Two-Door Car","Large", 5748.285,-0.0364355652,-0.0364355652,0.0007855256,1.740101e-07,-1.021589e-03,-4.599804e-04, 9.092113e-05, 4.476366e-04, 2.540538e-04,-2.844719e-04, 1.752183e-04,1.0031805
"3048", 5463.914,"No","Basic","Master","Employed","F",44305,"Urban","Married", 67,33,39,0,9,"Personal Auto","Personal L1","Offer2","Call Center", 214.772284,"Four-Door Car","Medsize", 7154.951,-0.5769467399,-0.5769467399,0.0031346496,1.744971e-04,-3.235281e-02,-4.132929e-04, 3.383810e-05, 7.982426e-03, 5.296131e-03,-2.804427e-02, 1.442926e-03,1.0047470
"3051", 4563.018,"No","Basic","College","Employed","F",39187,"Suburban","Divorced",118,32,43,1,1,"Corporate Auto","Corporate L2","Offer1","Agent", 566.400000,"SUV","Small", 7529.851,-1.0120721394,-1.0120721394,0.0025651953,4.390393e-04,-5.132506e-02,-6.752994e-03, 5.342405e-03, 1.171377e-02,-8.660549e-04, 1.486885e-02,-3.641849e-02,1.0025135
"3053", 2279.747,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single", 64, 9,95,0,1,"Personal Auto","Personal L2","Offer1","Call Center", 460.800000,"Four-Door Car","Medsize", 4114.674,-0.6257320842,-0.6257320842,0.0021339079,1.395836e-04,-2.893611e-02,-1.231345e-02, 1.957900e-04,-2.120439e-02, 8.417143e-03, 1.160731e-02, 1.593127e-03,1.0035985
"3057", 2215.913,"No","Basic","College","Unemployed","M",    0,"Suburban","Single", 66,31,14,0,1,"Personal Auto","Personal L2","Offer3","Branch", 389.944994,"Two-Door Car","Medsize", 4196.501,-0.6753995478,-0.6753995478,0.0020942149,1.595865e-04,-3.094045e-02,-1.236712e-02, 6.793757e-04,-2.287735e-02, 8.024589e-03, 1.250391e-02, 2.231218e-03,1.0034034
"3058", 7780.903,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married", 70,29,93,0,2,"Personal Auto","Personal L1","Offer3","Call Center", 504.000000,"Four-Door Car","Small", 4674.218, 1.0593917435, 1.0593917435,0.0017955374,3.364462e-04, 4.493079e-02, 1.339512e-02,-2.310606e-03, 3.551710e-02,-9.058961e-03,-1.088081e-02,-4.935240e-03,1.0015057
"3061", 7268.096,"No","Extended","Master","Employed","F",38179,"Urban","Married", 90,12,91,1,3,"Personal Auto","Personal L1","Offer1","Call Center", 374.716271,"Four-Door Car","Medsize", 6211.577, 0.3600144611, 0.3600144611,0.0007334483,1.586089e-05, 9.753580e-03, 9.260794e-04,-3.342608e-03,-4.359461e-03, 2.788459e-03,-4.152237e-06,-4.377904e-03,1.0028203
"3069", 5329.075,"No","Basic","Bachelor","Employed","F",43671,"Urban","Married", 67, 6,67,0,3,"Corporate Auto","Corporate L2","Offer3","Agent", 190.649902,"Four-Door Car","Medsize", 5270.567, 0.0199369379, 0.0199369379,0.0007794948,5.170002e-08, 5.568451e-04, 3.645568e-04,-2.632978e-05,-2.381373e-04,-2.053374e-04,-8.534364e-06,-6.886544e-05,1.0031767
"3072",15304.518,"No","Basic","Bachelor","Employed","M",40269,"Suburban","Married",193,32,27,0,3,"Personal Auto","Personal L1","Offer3","Agent", 926.400000,"Luxury SUV","Small",10425.662, 1.6698866713, 1.6698866713,0.0085094655,3.985904e-03, 1.547013e-01,-1.136503e-01,-7.535456e-02,-2.153781e-02, 1.484530e-01, 3.107705e-03,-8.574783e-02,1.0042778
"3074",15119.555,"No","Basic","Doctor","Employed","M",47725,"Rural","Married", 63,10,66,0,2,"Personal Auto","Personal L1","Offer2","Call Center", 142.205246,"Two-Door Car","Medsize", 4792.849, 3.5278560105, 3.5278560105,0.0009286791,1.919385e-03, 1.075587e-01, 8.448625e-02,-5.148185e-04,-4.093813e-02,-4.807425e-02,-3.056637e-02,-7.406763e-03,0.9739544
"3075", 5860.018,"No","Basic","Bachelor","Employed","F",38684,"Suburban","Married", 74, 1,22,0,6,"Personal Auto","Personal L3","Offer3","Branch", 376.760016,"Two-Door Car","Medsize", 6499.153,-0.2178448285,-0.2178448285,0.0012811122,1.014967e-05,-7.802238e-03,-1.028105e-03, 6.784317e-04, 2.817900e-03, 9.243552e-04,-5.270578e-03, 1.225878e-03,1.0035675
"3079", 6513.613,"No","Extended","College","Employed","F",50037,"Urban","Married", 81,24,91,0,6,"Special Auto","Special L2","Offer1","Call Center", 303.384527,"Four-Door Car","Medsize", 6785.548,-0.0926856423,-0.0926856423,0.0012646915,1.813759e-06,-3.298219e-03, 5.932931e-06, 5.133618e-04, 1.203564e-03,-1.158685e-04,-2.254188e-03, 7.672233e-04,1.0036444
"3080", 3491.742,"No","Premium","Bachelor","Unemployed","M",    0,"Suburban","Single",104,30,88,0,1,"Corporate Auto","Corporate L1","Offer1","Agent", 748.800000,"Four-Door Car","Medsize", 6512.419,-1.0323779582,-1.0323779582,0.0062901229,1.124383e-03,-8.213693e-02,-1.595954e-02,-6.724196e-02,-3.546778e-02, 1.757683e-02, 1.633015e-02,-1.292188e-03,1.0061715
