"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Open.Complaints","dfbetas.Number.of.Policies","dfbetas.I(Renew.Offer.Type == ""Offer2"")TRUE","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"520", 7180.971,"No","Basic","College","Employed","F",42303,"Suburban","Married",180,24,66,0,1,"Personal Auto","Personal L2","Offer2","Agent",1210.920949,"Luxury SUV","Medsize", 9484.909,-0.8130525942,-0.8130525942,0.0027450567,3.032887e-04,-4.265709e-02, 2.764365e-02,-3.711732e-02, 3.742713e-03, 7.312050e-03,-1.563155e-02, 2.077177e-02,1.0031008
"521",15656.034,"No","Extended","Bachelor","Employed","F",71731,"Urban","Single",130,12,50,0,2,"Corporate Auto","Corporate L2","Offer1","Branch", 599.648466,"SUV","Medsize", 8419.800, 2.5527179563, 2.5527179563,0.0010229482,1.111076e-03, 8.168680e-02, 1.817062e-03, 1.121574e-02,-1.522734e-02,-1.525757e-02,-2.102832e-02, 5.414174e-02,0.9953867
"522", 5780.182,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single", 74,23, 0,0,8,"Corporate Auto","Corporate L3","Offer2","Call Center", 787.993313,"Four-Door Car","Medsize", 6951.851,-0.4131687561,-0.4131687561,0.0013337405,3.800285e-05,-1.509917e-02, 2.139322e-03, 1.523311e-03, 1.718523e-03,-1.128172e-02,-8.119051e-03, 1.299377e-03,1.0021865
"525", 5050.826,"No","Basic","College","Unemployed","M",    0,"Rural","Married", 69,16,45,0,6,"Personal Auto","Personal L1","Offer3","Agent",  72.852047,"Two-Door Car","Medsize", 6336.739,-0.4532941077,-0.4532941077,0.0006182532,2.118862e-05,-1.127451e-02,-3.641573e-03, 3.292239e-03, 2.756029e-03,-6.760445e-03, 4.146319e-03, 1.318654e-03,1.0014333
"527", 7268.737,"No","Basic","Bachelor","Employed","M",24445,"Suburban","Single", 63,18,15,0,2,"Personal Auto","Personal L3","Offer1","Agent", 302.400000,"Two-Door Car","Medsize", 4760.878, 0.8840243118, 0.8840243118,0.0004863246,6.337688e-05, 1.949993e-02, 1.611452e-02,-9.222338e-03,-5.515935e-03,-5.593932e-03,-9.345205e-03,-1.361634e-03,1.0007105
"528", 2616.614,"Yes","Basic","College","Employed","M",72302,"Suburban","Divorced", 66, 6,27,0,1,"Personal Auto","Personal L3","Offer1","Agent", 316.800000,"Two-Door Car","Medsize", 4571.279,-0.6890278317,-0.6890278317,0.0005537152,4.384178e-05,-1.621811e-02,-1.307571e-02, 6.274960e-03, 4.331214e-03, 7.995378e-03, 7.474836e-03, 1.484850e-03,1.0010925
"530", 2725.356,"Yes","Basic","Master","Employed","F",36650,"Rural","Married", 69, 2,70,1,1,"Special Auto","Special L2","Offer2","Web",  56.603330,"Four-Door Car","Large", 4293.325,-0.5527715394,-0.5527715394,0.0007844577,3.998545e-05,-1.548820e-02,-4.757912e-03, 3.695883e-03,-5.344237e-03, 5.375665e-03,-1.004783e-02, 9.826650e-04,1.0014972
"531", 5453.861,"No","Basic","College","Employed","M",30855,"Urban","Married", 68, 7,15,0,7,"Corporate Auto","Corporate L3","Offer2","Web", 259.060862,"Four-Door Car","Medsize", 6353.519,-0.3172102176,-0.3172102176,0.0011019647,1.850360e-05,-1.053587e-02, 2.619946e-04, 2.092893e-03, 1.329966e-03,-6.964592e-03,-6.094471e-03, 5.853148e-04,1.0020259
"532", 6846.150,"Yes","Extended","Bachelor","Unemployed","F",    0,"Suburban","Divorced", 95,13,20,0,5,"Personal Auto","Personal L3","Offer1","Call Center", 456.000000,"Two-Door Car","Large", 7191.679,-0.1217896847,-0.1217896847,0.0004582585,1.133581e-06,-2.607746e-03, 5.171920e-05,-5.953533e-04, 7.499076e-04,-1.195228e-03, 1.098234e-03, 1.024701e-03,1.0014686
"533", 6172.914,"No","Extended","Master","Employed","M",99960,"Suburban","Married", 76,19,83,0,4,"Corporate Auto","Corporate L3","Offer1","Agent", 364.800000,"Four-Door Car","Small", 6002.956, 0.0599032929, 0.0599032929,0.0003764576,2.252701e-07, 1.162493e-03, 5.467924e-04,-2.480260e-04,-3.697846e-04, 2.617278e-04,-5.799790e-04,-2.606118e-04,1.0013982
"536", 4196.258,"No","Premium","High School or Below","Medical Leave","F",18052,"Suburban","Divorced",111, 5,71,0,1,"Personal Auto","Personal L1","Offer3","Web", 699.167900,"Four-Door Car","Medsize", 6614.941,-0.8526415276,-0.8526415276,0.0006165183,7.475079e-05,-2.117744e-02,-8.233653e-04,-1.029489e-02, 5.412725e-03, 9.599596e-03, 8.573242e-03, 9.996087e-03,1.0008967
"537", 7858.110,"No","Basic","High School or Below","Employed","F",28937,"Rural","Divorced",104,28,23,2,6,"Personal Auto","Personal L3","Offer1","Call Center", 117.959654,"SUV","Medsize", 8241.291,-0.1351470483,-0.1351470483,0.0017237799,5.257336e-06,-5.615936e-03, 5.335444e-05, 1.025279e-03,-3.037833e-03,-2.061429e-03, 7.462535e-04,-3.640429e-03,1.0027346
"540", 8970.647,"No","Basic","Doctor","Medical Leave","M",12829,"Urban","Married",118,33, 1,0,9,"Personal Auto","Personal L1","Offer2","Call Center", 328.231432,"SUV","Medsize", 9892.078,-0.3250937796,-0.3250937796,0.0023722254,4.189091e-05,-1.585267e-02, 5.022766e-03,-1.303141e-04, 1.239072e-03,-1.066283e-02,-7.126991e-03,-7.961760e-03,1.0032965
"543", 4331.461,"No","Basic","High School or Below","Employed","F",82302,"Suburban","Married",106,11,92,0,1,"Personal Auto","Personal L2","Offer1","Branch", 722.178166,"SUV","Medsize", 7004.004,-0.9423947167,-0.9423947167,0.0011446066,1.696197e-04,-3.190139e-02,-1.156314e-02, 6.589485e-03, 5.630342e-03, 1.080186e-02, 8.473474e-03,-2.482133e-02,1.0012607
"544",13309.335,"No","Extended","College","Unemployed","M",    0,"Suburban","Divorced",127,19,40,0,2,"Personal Auto","Personal L3","Offer1","Call Center", 609.600000,"SUV","Medsize", 8283.556, 1.7724187597, 1.7724187597,0.0010125427,5.304885e-04, 5.642778e-02, 3.390366e-03, 5.284027e-03,-1.056536e-02,-1.063451e-02,-1.469425e-02, 3.872269e-02,0.9988208
"545", 4528.505,"No","Premium","High School or Below","Employed","M",70340,"Suburban","Married",113, 5,56,0,1,"Special Auto","Special L2","Offer1","Agent", 542.400000,"Four-Door Car","Small", 6705.771,-0.7675362592,-0.7675362592,0.0006401230,6.289535e-05,-1.942539e-02,-1.267463e-04,-9.989988e-03, 4.874634e-03, 8.629739e-03, 7.690527e-03, 9.324863e-03,1.0010618
"547", 8092.877,"Yes","Basic","College","Employed","M",50825,"Urban","Married",102, 3,46,0,3,"Personal Auto","Personal L2","Offer1","Agent", 369.614729,"SUV","Medsize", 7474.031, 0.2181912456, 0.2181912456,0.0010433160,8.288257e-06, 7.051344e-03, 2.175933e-03,-1.898738e-03,-1.283956e-03,-1.946136e-04,-1.833225e-03, 5.922042e-03,1.0020215
"548", 7996.007,"No","Extended","College","Employed","M",93459,"Suburban","Married", 99, 9,85,0,5,"Personal Auto","Personal L3","Offer2","Web", 655.413330,"Four-Door Car","Medsize", 7109.689, 0.3124538994, 0.3124538994,0.0007645979,1.245239e-05, 8.643081e-03,-2.917496e-03, 2.444352e-03,-1.349438e-03, 3.621734e-03, 5.966875e-03,-2.621690e-03,1.0016906
"549", 5129.739,"No","Basic","Bachelor","Employed","M",86148,"Suburban","Married", 65,19,51,2,4,"Personal Auto","Personal L3","Offer4","Agent", 312.000000,"Four-Door Car","Small", 5202.295,-0.0255796546,-0.0255796546,0.0008948410,9.768927e-08,-7.655296e-04,-2.510583e-04, 2.405138e-04,-5.645391e-04,-1.153617e-04, 2.051838e-04, 4.428460e-05,1.0019207
"550", 5697.175,"No","Basic","Bachelor","Employed","F",27048,"Suburban","Married", 72, 5,85,0,4,"Corporate Auto","Corporate L3","Offer3","Agent", 345.600000,"Four-Door Car","Medsize", 5821.297,-0.0437482453,-0.0437482453,0.0003955837,1.262566e-07,-8.702935e-04,-4.693703e-04, 2.634983e-04, 2.698206e-04,-1.898018e-04, 4.266577e-04, 1.531247e-04,1.0014190
"551", 9217.131,"No","Basic","College","Employed","F",73259,"Suburban","Married",115, 7,31,0,4,"Personal Auto","Personal L2","Offer4","Web", 673.342650,"SUV","Medsize", 8390.266, 0.2915278893, 0.2915278893,0.0009940008,1.409599e-05, 9.195798e-03, 8.217838e-04,-7.274416e-04,-1.708425e-03, 1.314200e-03,-2.286318e-03, 7.099533e-03,1.0019336
"552",10208.928,"Yes","Extended","College","Employed","F",35482,"Suburban","Married",129,21,59,0,3,"Corporate Auto","Corporate L2","Offer1","Branch", 619.200000,"SUV","Medsize", 8700.229, 0.5319285477, 0.5319285477,0.0009837254,4.644188e-05, 1.669183e-02,-4.451559e-04, 2.132631e-03,-3.149858e-03,-3.641249e-04,-4.215692e-03, 1.138247e-02,1.0017202
"553", 4170.687,"Yes","Basic","Master","Employed","F",29462,"Suburban","Single",107,28,23,1,1,"Personal Auto","Personal L3","Offer2","Branch", 513.600000,"SUV","Large", 6635.220,-0.8691925322,-0.8691925322,0.0015038793,1.896555e-04,-3.373256e-02,-2.344607e-03, 4.791460e-03,-8.681238e-03, 8.343059e-03,-1.739162e-02,-2.359548e-02,1.0017570
"554", 4505.406,"No","Basic","College","Employed","F",67801,"Rural","Divorced",115,12,45,1,1,"Personal Auto","Personal L3","Offer3","Web",  23.810491,"SUV","Medsize", 7262.187,-0.9720980989,-0.9720980989,0.0011335626,1.787356e-04,-3.274757e-02,-6.616881e-03, 2.718173e-03,-7.902641e-03, 1.096614e-02, 7.683364e-03,-2.387937e-02,1.0011913
"556", 5528.665,"No","Basic","High School or Below","Medical Leave","M",16042,"Suburban","Married", 73,33,58,0,9,"Personal Auto","Personal L3","Offer1","Agent", 350.400000,"Two-Door Car","Medsize", 7495.928,-0.6937356336,-0.6937356336,0.0013218902,1.061806e-04,-2.523939e-02,-4.070508e-04, 3.553716e-03, 4.135653e-03,-2.140365e-02, 5.612415e-03, 2.657414e-03,1.0018558
"557", 5045.867,"No","Basic","High School or Below","Employed","M",28056,"Suburban","Married", 64,32,41,1,8,"Personal Auto","Personal L3","Offer1","Branch", 307.200000,"Four-Door Car","Medsize", 6610.803,-0.5517937169,-0.5517937169,0.0011154241,5.667330e-05,-1.843907e-02,-2.361341e-03, 5.234966e-03,-4.483732e-03,-1.412157e-02, 4.220811e-03, 9.668527e-04,1.0018301
"558", 2962.722,"No","Extended","High School or Below","Medical Leave","M",16495,"Suburban","Married", 85,25,75,3,1,"Corporate Auto","Corporate L2","Offer1","Branch", 408.000000,"Four-Door Car","Medsize", 4982.510,-0.7124045094,-0.7124045094,0.0017280823,1.464381e-04,-2.964043e-02,-4.130517e-03, 2.052573e-04,-2.567917e-02, 7.927946e-03, 5.508701e-03, 4.115383e-03,1.0022365
"560",11413.441,"No","Premium","College","Unemployed","F",    0,"Suburban","Married",161, 3,71,1,9,"Personal Auto","Personal L3","Offer1","Branch", 772.800000,"Sports Car","Small",11341.874, 0.0252531495, 0.0252531495,0.0026401278,2.814019e-07, 1.299278e-03,-9.225769e-04, 9.165890e-04, 2.030419e-04, 7.995584e-04,-1.417258e-04,-5.662605e-04,1.0036740
"562", 6048.574,"No","Basic","College","Unemployed","F",    0,"Suburban","Married", 61,17,71,3,2,"Corporate Auto","Corporate L1","Offer3","Agent", 292.800000,"Four-Door Car","Medsize", 4218.400, 0.6455340191, 0.6455340191,0.0017704304,1.231909e-04, 2.718588e-02, 8.689064e-03,-7.426793e-03, 2.331780e-02,-3.880288e-03,-5.052195e-03,-4.479326e-04,1.0023723
"563", 5934.741,"No","Premium","Bachelor","Employed","F",87747,"Rural","Divorced",147, 3,87,1,1,"Personal Auto","Personal L2","Offer2","Agent",  46.492039,"SUV","Small", 8451.809,-0.8877882684,-0.8877882684,0.0016507911,2.172165e-04,-3.610058e-02, 1.182648e-02,-1.182950e-02,-8.818661e-03, 8.249338e-03,-1.839175e-02,-1.654713e-02,1.0018709
"565", 3490.028,"No","Extended","Master","Employed","M",90985,"Rural","Divorced", 87,33,39,0,1,"Personal Auto","Personal L2","Offer1","Branch",  78.085149,"Four-Door Car","Medsize", 5524.988,-0.7173049719,-0.7173049719,0.0004714281,4.044945e-05,-1.557808e-02,-7.582833e-03,-5.575759e-04, 4.529533e-03, 8.207493e-03, 7.515577e-03, 4.748509e-03,1.0009693
"567", 5989.774,"Yes","Premium","College","Employed","M",66839,"Suburban","Single",154,33,24,0,1,"Personal Auto","Personal L3","Offer2","Branch", 739.200000,"Sports Car","Medsize", 8304.126,-0.8163329596,-0.8163329596,0.0017792299,1.979765e-04,-3.446435e-02, 1.924130e-02,-2.725284e-02, 3.726732e-03, 7.501082e-03,-1.531240e-02, 1.632974e-02,1.0021248
"568",12500.843,"No","Premium","High School or Below","Unemployed","F",    0,"Suburban","Married",165,16,43,0,3,"Personal Auto","Personal L3","Offer3","Call Center", 792.000000,"SUV","Medsize",10335.159, 0.7637459661, 0.7637459661,0.0014064499,1.369345e-04, 2.866267e-02,-1.164890e-02, 1.600956e-02,-4.561442e-03,-3.117013e-04,-5.568993e-03, 1.049777e-02,1.0018359
"569", 8609.158,"Yes","Basic","Bachelor","Employed","F",79090,"Urban","Married",107, 2,74,0,3,"Corporate Auto","Corporate L3","Offer2","Branch", 289.040734,"SUV","Medsize", 7437.456, 0.4131792753, 0.4131792753,0.0013279554,3.783972e-05, 1.506672e-02, 2.720597e-04,-2.188926e-03,-1.672029e-03, 3.685585e-04, 8.155385e-03, 1.113808e-02,1.0021807
"570", 2497.455,"No","Basic","Bachelor","Employed","M",24825,"Rural","Married", 64,34,44,0,1,"Personal Auto","Personal L3","Offer2","Branch", 155.938593,"Two-Door Car","Medsize", 4216.801,-0.6061300645,-0.6061300645,0.0007475994,4.581641e-05,-1.657917e-02,-7.557272e-03, 5.454137e-03, 2.690510e-03, 5.985645e-03,-1.040128e-02, 5.182216e-04,1.0013968
"571", 7019.177,"Yes","Basic","College","Retired","M",26806,"Suburban","Married", 63,32,19,0,2,"Personal Auto","Personal L2","Offer1","Agent", 302.400000,"Four-Door Car","Medsize", 4760.878, 0.7960440431, 0.7960440431,0.0004863246,5.139106e-05, 1.755925e-02, 1.451076e-02,-8.304509e-03,-4.966975e-03,-5.037210e-03,-8.415147e-03,-1.226121e-03,1.0008620
"572", 5387.926,"No","Basic","College","Employed","F",56835,"Suburban","Married", 67,25,16,0,3,"Personal Auto","Personal L3","Offer1","Branch", 326.549425,"Two-Door Car","Small", 5268.380, 0.0421357991, 0.0421357991,0.0004119679,1.219741e-07, 8.554062e-04, 6.184929e-04,-3.565867e-04,-2.613597e-04,-4.206649e-05,-4.285443e-04,-1.017107e-04,1.0014356
"574", 2730.203,"No","Basic","Bachelor","Employed","M",46135,"Rural","Married", 69,12,68,0,1,"Personal Auto","Personal L3","Offer1","Agent", 103.935601,"Four-Door Car","Medsize", 4707.523,-0.6970062494,-0.6970062494,0.0005300033,4.294069e-05,-1.605059e-02,-1.239003e-02, 5.363350e-03, 4.384196e-03, 8.071806e-03, 7.524415e-03, 1.946631e-03,1.0010574
"576", 7937.065,"No","Basic","High School or Below","Employed","F",22862,"Suburban","Married", 67, 9,40,0,2,"Personal Auto","Personal L3","Offer2","Agent", 321.600000,"Two-Door Car","Medsize", 4678.888, 1.1486580469, 1.1486580469,0.0006479166,1.425631e-04, 2.924765e-02, 1.070314e-02,-8.614108e-03,-5.054878e-03,-5.229297e-03, 2.014972e-02,-1.741432e-03,1.0003210
"578", 2632.546,"No","Basic","Bachelor","Employed","M",95854,"Suburban","Married", 65,16,78,0,1,"Personal Auto","Personal L3","Offer2","Agent", 312.000000,"Two-Door Car","Small", 4262.216,-0.5745119117,-0.5745119117,0.0007393556,4.070719e-05,-1.562739e-02,-6.933054e-03, 4.899168e-03, 2.550943e-03, 5.668974e-03,-9.868803e-03, 6.133563e-04,1.0014269
"579", 7785.004,"No","Extended","Bachelor","Employed","F",44897,"Suburban","Married", 99,22,46,1,7,"Personal Auto","Personal L1","Offer4","Web", 580.725310,"Four-Door Car","Small", 7874.475,-0.0315417899,-0.0315417899,0.0008285654,1.375252e-07,-9.083009e-04, 2.454948e-04,-2.177604e-04,-2.534154e-04,-6.484249e-04, 2.321624e-04, 2.892941e-04,1.0018539
"581", 4980.825,"No","Basic","Master","Employed","F",53265,"Urban","Married", 62,12,27,0,3,"Personal Auto","Personal L2","Offer2","Call Center", 238.005074,"Four-Door Car","Small", 4777.658, 0.0716184507, 0.0716184507,0.0006681669,5.716729e-07, 1.851879e-03, 6.711164e-04,-6.994579e-04,-3.116672e-04, 5.072072e-05, 1.273640e-03,-3.409634e-05,1.0016889
"583",12302.762,"No","Basic","Bachelor","Employed","F",43817,"Urban","Married", 62,25,12,1,2,"Personal Auto","Personal L3","Offer3","Branch", 245.447622,"Four-Door Car","Medsize", 4564.914, 2.7292011361, 2.7292011361,0.0005194284,6.444561e-04, 6.221730e-02, 4.576860e-02,-2.986942e-02, 2.148893e-02,-1.698537e-02,-2.636580e-02,-3.239945e-03,0.9939368
"585", 9048.983,"Yes","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married",119, 9, 8,0,3,"Personal Auto","Personal L1","Offer2","Web", 571.200000,"Sports Car","Medsize", 7366.297, 0.5932399496, 0.5932399496,0.0008638320,5.071801e-05, 1.744346e-02,-7.976912e-03, 1.012403e-02,-2.628498e-03, 6.798799e-04, 1.114759e-02,-7.473559e-03,1.0015292
"586", 5548.032,"Yes","Basic","Bachelor","Employed","M",67798,"Suburban","Divorced", 69, 1,78,0,9,"Personal Auto","Personal L1","Offer1","Agent", 331.200000,"Four-Door Car","Medsize", 7314.269,-0.6228480482,-0.6228480482,0.0013447037,8.707016e-05,-2.285534e-02,-1.363045e-03, 4.363744e-03, 3.709670e-03,-1.919766e-02, 5.082947e-03, 1.855948e-03,1.0019745
"588", 2389.981,"No","Basic","Bachelor","Employed","M",27615,"Suburban","Married", 62,19,18,1,1,"Personal Auto","Personal L3","Offer3","Call Center", 297.600000,"Four-Door Car","Medsize", 4239.071,-0.6518287407,-0.6518287407,0.0006134113,4.346870e-05,-1.614889e-02,-1.220184e-02, 7.190549e-03,-5.105133e-03, 7.510953e-03, 6.512309e-03, 7.587163e-04,1.0012034
"590", 5295.742,"No","Extended","High School or Below","Employed","M",50200,"Urban","Divorced",135,23,98,0,1,"Personal Auto","Personal L3","Offer1","Agent", 637.063458,"Sports Car","Medsize", 7704.895,-0.8494514115,-0.8494514115,0.0010166835,1.223979e-04,-2.709894e-02, 7.341343e-03,-1.985637e-02, 5.421651e-03, 9.409009e-03, 8.183179e-03, 1.429652e-02,1.0013032
"593", 2778.904,"No","Basic","Master","Employed","F",73570,"Rural","Single", 70, 0,46,1,1,"Special Auto","Special L3","Offer2","Branch",  75.936096,"Two-Door Car","Medsize", 4338.740,-0.5499026619,-0.5499026619,0.0007783893,3.926514e-05,-1.534805e-02,-4.513079e-03, 3.417831e-03,-5.315726e-03, 5.343526e-03,-1.000535e-02, 1.094500e-03,1.0014944
"596", 2491.317,"Yes","Basic","Doctor","Employed","M",36631,"Rural","Divorced", 62,30,77,0,1,"Personal Auto","Personal L3","Offer1","Agent",  67.530904,"Four-Door Car","Large", 4389.620,-0.6691711041,-0.6691711041,0.0005915309,4.417723e-05,-1.628000e-02,-1.377050e-02, 7.354132e-03, 4.202787e-03, 7.785665e-03, 7.306776e-03, 8.729342e-04,1.0011580
"597", 2908.876,"No","Basic","College","Employed","F",35895,"Urban","Married", 73,11,51,0,1,"Personal Auto","Personal L3","Offer2","Agent", 312.921256,"Four-Door Car","Medsize", 4625.534,-0.6051646218,-0.6051646218,0.0006893479,4.210956e-05,-1.589434e-02,-5.364894e-03, 2.881554e-03, 2.693651e-03, 5.934110e-03,-1.048049e-02, 1.675540e-03,1.0013397
"598", 4282.948,"Yes","Basic","College","Employed","F",40864,"Rural","Married",109,16,70,1,1,"Personal Auto","Personal L3","Offer1","Agent", 166.937747,"SUV","Medsize", 6989.698,-0.9544648946,-0.9544648946,0.0011573138,1.759257e-04,-3.248905e-02,-8.789793e-03, 5.365212e-03,-7.767278e-03, 1.081134e-02, 7.645131e-03,-2.466455e-02,1.0012499
"599", 8341.624,"No","Premium","College","Unemployed","M",    0,"Suburban","Divorced",118,15,77,0,4,"Personal Auto","Personal L2","Offer1","Agent", 566.400000,"Four-Door Car","Medsize", 7910.374, 0.1520152349, 0.1520152349,0.0006034153,2.325808e-06, 3.735307e-03,-1.167798e-03, 2.375730e-03,-9.472981e-04, 7.132847e-04,-1.359342e-03,-2.019018e-03,1.0016055
"601", 7366.188,"No","Basic","Bachelor","Employed","M",70014,"Rural","Divorced", 62, 6, 4,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",  17.742954,"Four-Door Car","Large", 4715.463, 0.9343968277, 0.9343968277,0.0004963614,7.226608e-05, 2.082275e-02, 1.740681e-02,-1.018768e-02,-5.828980e-03,-5.919884e-03,-9.894234e-03,-1.240554e-03,1.0006267
"602", 2436.875,"No","Basic","College","Employed","F",48875,"Rural","Married", 61,20, 9,0,1,"Personal Auto","Personal L1","Offer1","Call Center",   1.838367,"Two-Door Car","Small", 4344.205,-0.6723570736,-0.6723570736,0.0006020919,4.539559e-05,-1.650297e-02,-1.410525e-02, 7.705659e-03, 4.221892e-03, 7.827938e-03, 7.353464e-03, 7.341288e-04,1.0011642
"603", 8852.689,"No","Basic","Bachelor","Employed","M",67969,"Urban","Married", 74,11,14,0,2,"Personal Auto","Personal L3","Offer3","Branch", 197.776009,"Four-Door Car","Medsize", 5260.440, 1.2663109059, 1.2663109059,0.0004051467,1.083111e-04, 2.549380e-02, 1.750724e-02,-6.654057e-03,-7.920111e-03,-7.905685e-03,-1.314020e-02,-4.911958e-03,0.9997871
"605", 5600.497,"No","Basic","Doctor","Employed","F",68665,"Suburban","Married", 69,33,67,0,7,"Personal Auto","Personal L3","Offer3","Call Center", 331.200000,"Two-Door Car","Small", 6662.583,-0.3744261147,-0.3744261147,0.0008042783,1.881051e-05,-1.062292e-02,-2.278566e-03, 2.687308e-03, 2.260973e-03,-7.569010e-03, 3.301749e-03, 1.098018e-03,1.0016867
"606", 4636.546,"Yes","Basic","College","Retired","M",26802,"Suburban","Married", 66, 7,43,1,5,"Corporate Auto","Corporate L1","Offer2","Agent", 316.800000,"Two-Door Car","Medsize", 5460.454,-0.2904630320,-0.2904630320,0.0008413707,1.184272e-05,-8.428831e-03,-5.847201e-04, 2.251870e-03,-2.858375e-03,-3.325889e-03,-5.647736e-03, 3.580390e-04,1.0017812
"607", 7573.345,"No","Premium","High School or Below","Unemployed","M",    0,"Suburban","Single",110, 6,37,0,6,"Corporate Auto","Corporate L3","Offer1","Agent",1193.036154,"Four-Door Car","Large", 8198.743,-0.2204646576,-0.2204646576,0.0007103038,5.759038e-06,-5.877807e-03, 1.846994e-03,-2.653564e-03, 1.352943e-03,-3.357585e-03, 1.857245e-03, 2.563487e-03,1.0016865
"608",14696.635,"No","Extended","College","Employed","M",45345,"Suburban","Married",125, 0,73,0,2,"Personal Auto","Personal L1","Offer1","Agent", 600.000000,"SUV","Medsize", 8192.727, 2.2941138118, 2.2941138118,0.0010078199,8.842673e-04, 7.286608e-02, 6.225150e-03, 4.679227e-03,-1.366881e-02,-1.379989e-02,-1.910028e-02, 5.109605e-02,0.9966492
"611", 5946.671,"No","Basic","Master","Employed","M",81139,"Suburban","Divorced", 74,22,69,0,3,"Special Auto","Special L2","Offer1","Web", 392.636400,"Four-Door Car","Medsize", 5586.283, 0.1270212698, 0.1270212698,0.0003670783,9.876266e-07, 2.434084e-03, 1.508596e-03,-6.564634e-04,-7.890942e-04,-1.199824e-04,-1.276165e-03,-4.956484e-04,1.0013759
"612", 8000.545,"No","Basic","Master","Employed","F",63834,"Rural","Married",100,23,19,1,3,"Personal Auto","Personal L3","Offer4","Agent", 215.226476,"Sports Car","Small", 6616.517, 0.4878318057, 0.4878318057,0.0004130997,1.639381e-05, 9.917159e-03,-1.892534e-04, 3.428147e-03, 3.835818e-03,-3.087759e-04,-4.224697e-03,-4.531776e-03,1.0011944
"613", 6457.561,"No","Extended","Bachelor","Employed","M",37548,"Rural","Married", 81,12, 9,0,3,"Special Auto","Special L2","Offer2","Web", 160.598662,"Four-Door Car","Medsize", 5640.538, 0.2879973889, 0.2879973889,0.0005735240,7.934044e-06, 6.899044e-03, 5.084263e-04,-2.370026e-04,-1.260780e-03, 2.459715e-04, 5.217937e-03,-1.300612e-03,1.0015142
"614", 7281.440,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married", 69,28,28,3,2,"Personal Auto","Personal L2","Offer3","Call Center", 371.803029,"Four-Door Car","Medsize", 4581.718, 0.9522440003, 0.9522440003,0.0016980596,2.570651e-04, 3.927297e-02, 9.766141e-03,-7.367368e-03, 3.438494e-02,-5.665175e-03,-7.317900e-03,-2.281459e-03,1.0017966
"616", 4678.423,"No","Premium","Master","Employed","M",83102,"Urban","Married",116,15,35,0,1,"Corporate Auto","Corporate L3","Offer2","Call Center", 443.670399,"Four-Door Car","Small", 6578.367,-0.6698547028,-0.6698547028,0.0009061283,6.783194e-05,-2.017308e-02, 5.591807e-03,-1.036988e-02, 3.021612e-03, 6.347938e-03,-1.211025e-02, 7.980446e-03,1.0014723
"618", 8717.778,"No","Premium","Master","Employed","F",83707,"Urban","Married",108, 2,72,0,7,"Corporate Auto","Corporate L3","Offer1","Agent", 290.391526,"Four-Door Car","Medsize", 8433.757, 0.1001309400, 0.1001309400,0.0008777400,1.468270e-06, 2.967850e-03,-9.539179e-04, 1.119683e-03,-6.100447e-04, 2.054210e-03,-8.141077e-04,-1.124122e-03,1.0018940
"620", 4764.190,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single", 67,18,73,0,8,"Personal Auto","Personal L3","Offer1","Web", 405.527937,"Four-Door Car","Medsize", 6897.596,-0.7522316113,-0.7522316113,0.0010606549,1.001427e-04,-2.451145e-02,-3.714439e-03, 6.042820e-03, 4.509213e-03,-1.918372e-02, 6.412593e-03, 1.903722e-03,1.0015070
"621", 2472.469,"Yes","Basic","College","Employed","F",63860,"Urban","Married", 62,26,81,0,1,"Personal Auto","Personal L3","Offer2","Agent", 208.598246,"Four-Door Car","Medsize", 4125.972,-0.5829217056,-0.5829217056,0.0007654154,4.338583e-05,-1.613337e-02,-7.734656e-03, 5.794148e-03, 2.585908e-03, 5.765463e-03,-9.982544e-03, 2.504652e-04,1.0014430
"624", 2606.209,"No","Basic","Bachelor","Employed","F",28519,"Suburban","Married", 66, 1,56,0,1,"Personal Auto","Personal L3","Offer2","Web", 456.473115,"Two-Door Car","Large", 4307.631,-0.5998060195,-0.5998060195,0.0007315547,4.390182e-05,-1.622905e-02,-6.998172e-03, 4.832502e-03, 2.664070e-03, 5.913933e-03,-1.031384e-02, 7.679057e-04,1.0013886
"625",10481.944,"No","Extended","High School or Below","Employed","F",39102,"Rural","Married", 88,11,98,0,2,"Personal Auto","Personal L3","Offer3","Agent", 152.338562,"Four-Door Car","Medsize", 5896.246, 1.6166321113, 1.6166321113,0.0003793261,1.652453e-04, 3.149198e-02, 1.329220e-02, 2.157181e-03,-1.014224e-02,-9.918858e-03,-1.637599e-02,-1.108274e-02,0.9987278
